timestamp, index, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/03/11 17:18:15.919, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:16.125, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:16.328, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:16.532, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:16.735, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:16.939, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:17.144, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:17.348, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:17.551, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:17.755, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:17.958, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:18.163, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:18.367, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:18.570, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:18.774, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:18.977, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:19.183, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:19.386, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:19.590, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:19.793, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:19.997, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:20.203, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:20.406, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:20.609, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:20.813, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:21.016, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:21.222, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:21.426, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:21.629, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:21.833, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:22.037, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:22.242, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:22.445, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:22.649, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:22.852, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:23.056, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:23.262, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:23.465, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:23.669, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:23.872, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:24.076, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:24.279, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:24.484, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:24.725, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:25.868, 0, Tesla P100-PCIE-16GB, P0, 38, 47 %, 0 %, 408 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:26.072, 0, Tesla P100-PCIE-16GB, P0, 38, 6 %, 0 %, 0 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:26.275, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 0 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
2026/03/11 17:18:26.479, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 0 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:26.682, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 0 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:26.888, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 10 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:27.105, 0, Tesla P100-PCIE-16GB, P0, 38, 6 %, 0 %, 408 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
2026/03/11 17:18:27.308, 0, Tesla P100-PCIE-16GB, P0, 38, 11 %, 1 %, 0 MiB, 16384 MiB, 36.46 W, 1328 MHz, 715 MHz
2026/03/11 17:18:27.512, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 0 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
2026/03/11 17:18:27.715, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 10 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
2026/03/11 17:18:27.919, 0, Tesla P100-PCIE-16GB, P0, 38, 2 %, 0 %, 408 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
2026/03/11 17:18:28.122, 0, Tesla P100-PCIE-16GB, P0, 38, 11 %, 1 %, 0 MiB, 16384 MiB, 36.46 W, 1328 MHz, 715 MHz
2026/03/11 17:18:28.328, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 0 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
